title,description,due_date
Customize transaction logs for PHY monitor transaction,`src/obj/uvma_cvmcu_dbg_phy_mon_trn.sv`,
Customize transaction logs for CORE PHY sequence item,`src/seq/uvma_cvmcu_dbg_core_phy_seq_item.sv`,
Customize transaction logs for SYS PHY sequence item,`src/seq/uvma_cvmcu_dbg_sys_phy_seq_item.sv`,
Implement sequence item,`src/seq/uvma_cvmcu_dbg_seq_item.sv`,
Implement monitor transaction,`src/obj/uvma_cvmcu_dbg_mon_trn.sv`,
Add configuration parameters if needed,`src/obj/uvma_cvmcu_dbg_cfg.sv`,
Add state variables if needed,`src/obj/uvma_cvmcu_dbg_cntxt.sv`,
Implement 'CORE' Driver Virtual Sequence,`src/seq/uvma_cvmcu_dbg_core_drv_vseq.sv`,
Implement 'SYS' Driver Virtual Sequence,`src/seq/uvma_cvmcu_dbg_sys_drv_vseq.sv`,
Implement idle virtual sequence,`src/seq/uvma_cvmcu_dbg_idle_vseq.sv`,
Implement monitor virtual sequence,`src/seq/uvma_cvmcu_dbg_mon_vseq.sv`,
Implement fixed stimulus virtual sequence,`src/seq/uvma_cvmcu_dbg_fix_stim_vseq.sv`,
Implement random stimulus virtual sequence,`src/seq/uvma_cvmcu_dbg_rand_stim_vseq.sv`,
Implement fixed illegal stimulus virtual sequence,`src/seq/uvme_cvmcu_dbg_fix_ill_stim_vseq.sv`,
Implement random illegal stimulus virtual sequence,`src/seq/uvme_cvmcu_dbg_rand_ill_stim_vseq.sv`,
